Serial No. of Polling Station,"Ajay
Makan",Trilok chand Sharma,Vijay Goel,Aamer Ahmed Madni,Jitendar Kumar Gupta,Naresh Chander Pal,"Nisha
Bano","Maharaj
Kumar","Murtaza
Phool","Raj Kumar
Nayyar",Rajesh Kumar Sabharwal,Major Sangeeta Tomar,Sanjeev Kumar Mishra,"Sudhir
Kumar",,"Sudhir
Gandotra",Sunita Chaudhar y,Harender,"Harsh
Malhotra",Ajay Prakash Harit,Anil Kumar Gautam,"Ashutosh
Kumar",Kapil Mitra,"Karan
Kumar",Krishan Kumar Tyagi,Ghanshya m Dass,Jagat Singh Chauhan,"Dinesh
Kumar",Prem Narayan Khandelw al,BHAGWA N DAS,B.B. Malhotra,Mantu,"Ramesh
Bhagwat","Lachhman
Dass","Lukman
Khan","Ved
Prakash",Shiban Krishan Razdan,Shiv Kumar Shah,"Sapna
Rani Behl",Surender Singh Dabas,Harkrisha n Das Nijhawan,Total of valid votes,No. of Rejected Votes                                        Total,            Total,No. of Tender Votes
90,438,9,201,7,1,0,0,1,0,0,0,0,0,0,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,590,0,590,0
91,319,3,259,5,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,570,0,570,0
92,365,8,176,1,0,0,0,0,0,0,1,0,0,1,,1,0,1,0,0,1,0,1,0,0,0,4,0,0,0,1,0,5,0,0,0,1,0,1,1,1,617,0,617,0
93,350,8,254,1,0,0,0,0,0,0,0,1,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,691,0
94,444,14,220,1,2,0,1,0,0,0,0,3,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,334,0,334,0
95,178,10,134,1,0,1,0,0,0,0,0,0,1,0,,1,1,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,565,0,565,0
96,347,8,195,2,0,0,0,0,1,0,1,0,0,0,,0,3,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,293,0,293,0
97,104,18,137,3,0,0,1,0,0,0,0,0,0,2,,0,3,1,1,0,0,1,3,1,2,2,0,1,2,0,0,0,2,2,1,2,0,1,0,2,1,213,0,213,0
98,105,7,64,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,2,0,0,0,0,0,0,27,0,0,1,0,1,3,0,1,0,0,0,1,0,0,427,0,427,0
99,278,30,84,2,2,0,0,0,0,0,0,0,0,0,,1,1,1,0,1,0,0,1,0,0,1,2,1,0,1,3,1,3,1,10,1,0,1,0,1,0,561,0,561,0
100,400,46,71,4,0,0,1,0,1,0,0,0,1,0,,0,3,4,1,1,2,1,0,2,0,1,2,1,0,0,2,1,2,2,9,0,0,0,0,2,1,666,0,666,0
101,402,4,241,3,1,0,1,0,0,0,0,4,0,0,,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,467,0,467,0
102,267,4,188,1,0,0,0,0,0,0,0,3,0,0,,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,333,0,333,0
103,174,9,146,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,627,0,627,0
104,361,3,253,1,0,0,0,0,0,0,0,1,0,0,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,657,0,657,0
105,346,14,289,0,0,1,0,0,0,0,0,0,0,0,,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,528,0,528,0
106,282,3,234,0,0,0,0,0,0,0,0,4,0,0,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,376,0,376,0
107,198,4,167,1,0,0,0,0,0,0,0,2,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,703,0,703,0
108,392,4,296,4,0,1,0,0,0,0,0,4,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,806,0,806,0
109,483,11,298,2,1,0,0,0,1,0,0,4,0,0,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,724,0,724,0
110,406,7,292,2,2,0,1,0,0,0,0,8,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,513,0,513,0
111,285,6,211,2,0,1,0,1,0,0,0,0,0,0,,0,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,628,0
112,358,8,253,0,0,1,0,0,0,0,1,3,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,704,0,704,0
